feature,family,non_null_rows,missing_frac,n_unique,pearson_next_level,spearman_next_level,pearson_next_delta,spearman_next_delta,combined_score
latent_soh_filter_pct_ewmmean_5,history,771,0.002587322121604174,771,0.7606623677040047,0.7671173156257751,-0.05389181908025944,-0.030051105750295733,0.22082437742597766
latent_soh_filter_pct_rollmax_5,history,771,0.002587322121604174,675,0.7557029970018486,0.7638145891536711,-0.05564994518857261,-0.030468212507078117,0.22054816725799245
latent_soh_filter_pct_rollmean_5,history,771,0.002587322121604174,771,0.7590261287288762,0.7658202038060826,-0.054223161811007815,-0.02952610667742096,0.2203293399919418
latent_soh_filter_pct_rollmin_5,history,771,0.002587322121604174,679,0.7621230809261489,0.7666604141580621,-0.05266647781875236,-0.029309209585788122,0.22020045787555456
latent_soh_filter_pct_lag2,history,769,0.005174644243208237,769,0.7688235102937606,0.7730737907386315,-0.0509288850956341,-0.024711217369906047,0.21924213298531875
prev2_latent_filter_pct,operating,769,0.005174644243208237,769,0.7688235102937606,0.7730737907386315,-0.0509288850956341,-0.024711217369906047,0.21924213298531875
latent_soh_filter_pct_ewmmean_8,history,771,0.002587322121604174,771,0.747629442772819,0.7565986135775226,-0.051406686280679105,-0.026926615201894665,0.2157917190389666
latent_soh_filter_pct_rollmean_8,history,771,0.002587322121604174,771,0.743499570888554,0.7535419981469813,-0.05191427450538993,-0.026194975392450158,0.21474327808912214
latent_soh_filter_pct_rollmin_8,history,771,0.002587322121604174,633,0.7501436173612556,0.7557289567735318,-0.049710500701990096,-0.025427395880201972,0.21472918360884324
latent_soh_filter_pct_lag3,history,767,0.0077619663648124115,767,0.7559970639911612,0.76230938322119,-0.049853743789238014,-0.021288051555332112,0.21448186021896548
latent_soh_filter_pct_rollmax_8,history,771,0.002587322121604174,624,0.7377036531782102,0.7501317034461237,-0.052890730808037106,-0.025420371891298817,0.21359650742823516
latent_soh_filter_pct_ewmmean_13,history,771,0.002587322121604174,771,0.7305103019467626,0.7431816480151865,-0.04722277400114025,-0.020870602323723893,0.20808688064297207
latent_soh_filter_pct_rollmin_13,history,771,0.002587322121604174,566,0.7356381283690157,0.7418313171356363,-0.04391961421566641,-0.018719969658488607,0.20643838101826678
latent_soh_filter_pct_rollmean_13,history,771,0.002587322121604174,771,0.7214394049026822,0.7372571704360942,-0.04675042304694557,-0.02017482485641282,0.2058363141551518
latent_soh_filter_pct_lag5,history,763,0.012936610608020649,763,0.7310827201142247,0.7422782689216786,-0.04726860815186625,-0.013357567643864308,0.20464150023497307
cumulative_flight_count_lag13,history,747,0.03363518758085382,120,-0.7166701488009424,-0.704937092010123,-0.005951719785214735,-0.05114320688897362,0.20220753771721522
latent_soh_filter_pct_rollmax_13,history,771,0.002587322121604174,548,0.7135137088314021,0.7326235531001069,-0.04751841655893527,-0.01182917934766309,0.2008235595222852
cumulative_event_count_lag13,history,747,0.03363518758085382,374,-0.7037585788895344,-0.7042843170981619,-0.002502948705432015,-0.051258070355522205,0.1998355217252923
cumulative_flight_count_lag5,history,763,0.012936610608020649,124,-0.7186288357711387,-0.7138824579260573,-0.004674921737051579,-0.04215327207799139,0.19931670122223408
latent_soh_filter_pct_rollmin_21,history,771,0.002587322121604174,479,0.7221701110590145,0.7308119373124023,-0.03759475105178243,-0.011001661213788224,0.19806797456450123
cumulative_flight_count_lag2,history,769,0.005174644243208237,125,-0.7191973777985299,-0.7174404645882321,-0.00431120198369989,-0.03797149083844542,0.1979163389404982
cumulative_flight_count_lag3,history,767,0.0077619663648124115,124,-0.7189626952896956,-0.7160801946840352,-0.0042032919923975865,-0.03800745274489458,0.19767264006449664
latent_soh_filter_pct_pct_change1,history,771,0.002587322121604174,771,0.37029496000961254,0.3880773639266579,-0.07693418812742629,-0.1755575638447547,0.19732226075832746
cumulative_event_count_lag5,history,763,0.012936610608020649,382,-0.7135264364271597,-0.7149697331103159,-0.0005751228616106142,-0.04007820349543605,0.19680583204069274
cumulative_event_count_lag2,history,769,0.005174644243208237,385,-0.7172690294053963,-0.7191919874098212,1.4619518435437794e-05,-0.036624924796219226,0.1960913030658421
cumulative_flight_count_lag8,history,757,0.02069857697283317,123,-0.7177061690009683,-0.7100894013580727,-0.002916735184806906,-0.03701956617153446,0.19581785243644032
