group,feature,selected
multiscale_history,current_abs_mean_a_rollslope_13,False
multiscale_history,current_abs_mean_a_rollmean_21,False
multiscale_history,current_abs_mean_a_rollstd_21,False
multiscale_history,current_abs_mean_a_rollmin_21,False
multiscale_history,current_abs_mean_a_rollmax_21,False
multiscale_history,current_abs_mean_a_rollslope_21,False
multiscale_history,current_abs_mean_a_ewmmean_3,False
multiscale_history,current_abs_mean_a_ewmstd_3,False
multiscale_history,current_abs_mean_a_ewmmean_5,False
multiscale_history,current_abs_mean_a_ewmstd_5,False
multiscale_history,current_abs_mean_a_ewmmean_8,False
multiscale_history,current_abs_mean_a_ewmstd_8,False
multiscale_history,current_abs_mean_a_ewmmean_13,False
multiscale_history,current_abs_mean_a_ewmstd_13,False
multiscale_history,p95_abs_current_a_lag1,False
multiscale_history,p95_abs_current_a_lag2,False
multiscale_history,p95_abs_current_a_lag3,False
multiscale_history,p95_abs_current_a_lag5,False
multiscale_history,p95_abs_current_a_lag8,False
multiscale_history,p95_abs_current_a_lag13,False
multiscale_history,p95_abs_current_a_diff1,False
multiscale_history,p95_abs_current_a_pct_change1,False
multiscale_history,p95_abs_current_a_rate_per_day1,False
multiscale_history,p95_abs_current_a_diff3,False
multiscale_history,p95_abs_current_a_pct_change3,False
multiscale_history,p95_abs_current_a_rate_per_day3,False
multiscale_history,p95_abs_current_a_diff5,False
multiscale_history,p95_abs_current_a_pct_change5,False
multiscale_history,p95_abs_current_a_rate_per_day5,False
multiscale_history,p95_abs_current_a_rollmean_2,False
multiscale_history,p95_abs_current_a_rollstd_2,False
multiscale_history,p95_abs_current_a_rollmin_2,False
multiscale_history,p95_abs_current_a_rollmax_2,False
multiscale_history,p95_abs_current_a_rollslope_2,False
multiscale_history,p95_abs_current_a_rollmean_3,False
multiscale_history,p95_abs_current_a_rollstd_3,False
multiscale_history,p95_abs_current_a_rollmin_3,False
multiscale_history,p95_abs_current_a_rollmax_3,False
multiscale_history,p95_abs_current_a_rollslope_3,False
multiscale_history,p95_abs_current_a_rollmean_5,False
multiscale_history,p95_abs_current_a_rollstd_5,False
multiscale_history,p95_abs_current_a_rollmin_5,False
multiscale_history,p95_abs_current_a_rollmax_5,False
multiscale_history,p95_abs_current_a_rollslope_5,False
multiscale_history,p95_abs_current_a_rollmean_8,False
multiscale_history,p95_abs_current_a_rollstd_8,False
multiscale_history,p95_abs_current_a_rollmin_8,False
multiscale_history,p95_abs_current_a_rollmax_8,False
multiscale_history,p95_abs_current_a_rollslope_8,False
multiscale_history,p95_abs_current_a_rollmean_13,False
multiscale_history,p95_abs_current_a_rollstd_13,False
multiscale_history,p95_abs_current_a_rollmin_13,False
multiscale_history,p95_abs_current_a_rollmax_13,False
multiscale_history,p95_abs_current_a_rollslope_13,False
multiscale_history,p95_abs_current_a_rollmean_21,False
multiscale_history,p95_abs_current_a_rollstd_21,False
multiscale_history,p95_abs_current_a_rollmin_21,False
multiscale_history,p95_abs_current_a_rollmax_21,False
multiscale_history,p95_abs_current_a_rollslope_21,False
multiscale_history,p95_abs_current_a_ewmmean_3,False
multiscale_history,p95_abs_current_a_ewmstd_3,False
multiscale_history,p95_abs_current_a_ewmmean_5,False
multiscale_history,p95_abs_current_a_ewmstd_5,False
multiscale_history,p95_abs_current_a_ewmmean_8,False
multiscale_history,p95_abs_current_a_ewmstd_8,False
multiscale_history,p95_abs_current_a_ewmmean_13,False
multiscale_history,p95_abs_current_a_ewmstd_13,False
multiscale_history,avg_cell_temp_mean_c_lag1,False
multiscale_history,avg_cell_temp_mean_c_lag2,False
multiscale_history,avg_cell_temp_mean_c_lag3,False
multiscale_history,avg_cell_temp_mean_c_lag5,False
multiscale_history,avg_cell_temp_mean_c_lag8,False
multiscale_history,avg_cell_temp_mean_c_lag13,False
multiscale_history,avg_cell_temp_mean_c_diff1,False
multiscale_history,avg_cell_temp_mean_c_pct_change1,False
multiscale_history,avg_cell_temp_mean_c_rate_per_day1,False
multiscale_history,avg_cell_temp_mean_c_diff3,False
multiscale_history,avg_cell_temp_mean_c_pct_change3,False
multiscale_history,avg_cell_temp_mean_c_rate_per_day3,False
multiscale_history,avg_cell_temp_mean_c_diff5,False
multiscale_history,avg_cell_temp_mean_c_pct_change5,False
multiscale_history,avg_cell_temp_mean_c_rate_per_day5,False
multiscale_history,avg_cell_temp_mean_c_rollmean_2,False
multiscale_history,avg_cell_temp_mean_c_rollstd_2,False
multiscale_history,avg_cell_temp_mean_c_rollmin_2,False
multiscale_history,avg_cell_temp_mean_c_rollmax_2,False
multiscale_history,avg_cell_temp_mean_c_rollslope_2,False
multiscale_history,avg_cell_temp_mean_c_rollmean_3,False
multiscale_history,avg_cell_temp_mean_c_rollstd_3,False
multiscale_history,avg_cell_temp_mean_c_rollmin_3,False
multiscale_history,avg_cell_temp_mean_c_rollmax_3,False
multiscale_history,avg_cell_temp_mean_c_rollslope_3,False
multiscale_history,avg_cell_temp_mean_c_rollmean_5,False
multiscale_history,avg_cell_temp_mean_c_rollstd_5,False
multiscale_history,avg_cell_temp_mean_c_rollmin_5,False
multiscale_history,avg_cell_temp_mean_c_rollmax_5,False
multiscale_history,avg_cell_temp_mean_c_rollslope_5,False
multiscale_history,avg_cell_temp_mean_c_rollmean_8,False
multiscale_history,avg_cell_temp_mean_c_rollstd_8,False
multiscale_history,avg_cell_temp_mean_c_rollmin_8,False
multiscale_history,avg_cell_temp_mean_c_rollmax_8,False
multiscale_history,avg_cell_temp_mean_c_rollslope_8,False
multiscale_history,avg_cell_temp_mean_c_rollmean_13,False
multiscale_history,avg_cell_temp_mean_c_rollstd_13,False
multiscale_history,avg_cell_temp_mean_c_rollmin_13,False
multiscale_history,avg_cell_temp_mean_c_rollmax_13,False
multiscale_history,avg_cell_temp_mean_c_rollslope_13,False
multiscale_history,avg_cell_temp_mean_c_rollmean_21,False
multiscale_history,avg_cell_temp_mean_c_rollstd_21,False
multiscale_history,avg_cell_temp_mean_c_rollmin_21,False
multiscale_history,avg_cell_temp_mean_c_rollmax_21,False
multiscale_history,avg_cell_temp_mean_c_rollslope_21,False
multiscale_history,avg_cell_temp_mean_c_ewmmean_3,False
multiscale_history,avg_cell_temp_mean_c_ewmstd_3,False
multiscale_history,avg_cell_temp_mean_c_ewmmean_5,False
multiscale_history,avg_cell_temp_mean_c_ewmstd_5,False
multiscale_history,avg_cell_temp_mean_c_ewmmean_8,False
multiscale_history,avg_cell_temp_mean_c_ewmstd_8,False
multiscale_history,avg_cell_temp_mean_c_ewmmean_13,False
multiscale_history,avg_cell_temp_mean_c_ewmstd_13,False
multiscale_history,avg_cell_temp_span_c_lag1,False
multiscale_history,avg_cell_temp_span_c_lag2,False
multiscale_history,avg_cell_temp_span_c_lag3,False
multiscale_history,avg_cell_temp_span_c_lag5,False
multiscale_history,avg_cell_temp_span_c_lag8,False
multiscale_history,avg_cell_temp_span_c_lag13,False
multiscale_history,avg_cell_temp_span_c_diff1,False
multiscale_history,avg_cell_temp_span_c_pct_change1,False
multiscale_history,avg_cell_temp_span_c_rate_per_day1,False
multiscale_history,avg_cell_temp_span_c_diff3,False
multiscale_history,avg_cell_temp_span_c_pct_change3,False
multiscale_history,avg_cell_temp_span_c_rate_per_day3,False
multiscale_history,avg_cell_temp_span_c_diff5,False
multiscale_history,avg_cell_temp_span_c_pct_change5,False
multiscale_history,avg_cell_temp_span_c_rate_per_day5,False
multiscale_history,avg_cell_temp_span_c_rollmean_2,False
multiscale_history,avg_cell_temp_span_c_rollstd_2,False
multiscale_history,avg_cell_temp_span_c_rollmin_2,False
multiscale_history,avg_cell_temp_span_c_rollmax_2,False
multiscale_history,avg_cell_temp_span_c_rollslope_2,False
multiscale_history,avg_cell_temp_span_c_rollmean_3,False
multiscale_history,avg_cell_temp_span_c_rollstd_3,False
multiscale_history,avg_cell_temp_span_c_rollmin_3,False
multiscale_history,avg_cell_temp_span_c_rollmax_3,False
multiscale_history,avg_cell_temp_span_c_rollslope_3,False
multiscale_history,avg_cell_temp_span_c_rollmean_5,False
multiscale_history,avg_cell_temp_span_c_rollstd_5,False
multiscale_history,avg_cell_temp_span_c_rollmin_5,False
multiscale_history,avg_cell_temp_span_c_rollmax_5,False
multiscale_history,avg_cell_temp_span_c_rollslope_5,False
multiscale_history,avg_cell_temp_span_c_rollmean_8,False
multiscale_history,avg_cell_temp_span_c_rollstd_8,False
multiscale_history,avg_cell_temp_span_c_rollmin_8,False
multiscale_history,avg_cell_temp_span_c_rollmax_8,False
multiscale_history,avg_cell_temp_span_c_rollslope_8,False
multiscale_history,avg_cell_temp_span_c_rollmean_13,False
multiscale_history,avg_cell_temp_span_c_rollstd_13,False
multiscale_history,avg_cell_temp_span_c_rollmin_13,False
multiscale_history,avg_cell_temp_span_c_rollmax_13,False
multiscale_history,avg_cell_temp_span_c_rollslope_13,False
multiscale_history,avg_cell_temp_span_c_rollmean_21,False
multiscale_history,avg_cell_temp_span_c_rollstd_21,False
