file_id,protocol,current_soh_pct,latent_soh_filter_pct,target_next_soh_pct,target_delta_soh_pct,duration_h,dod_frac,temp_mean_c,temp_max_c,temp_span_c,cumulative_equiv_cycles,gap_h,current_abs_mean_a,p95_abs_current_a,current_span_a,avg_cell_temp_mean_c,avg_cell_temp_max_c,avg_cell_temp_span_c,soc_span_pct,event_duration_s,delta_days,event_efc,event_ah,cumulative_efc,cumulative_ah,cumulative_flight_count,time_since_prev_event_days,capacity_test_start_cycle_id,capacity_test_end_cycle_id,capacity_test_start_cycle_index,capacity_test_end_cycle_index,interval_cycle_count,split
VAH15,Extended cruise (1000 sec),94.5609547381803,94.5609547381803,92.75062426398458,-1.8103304741957256,98.0393544649444,32.34087209749044,29.557961070323977,51.170048,29.036364000000003,99.89508392272573,98.4643545156194,3.1999372843069698,14.89799175,19.075568,29.557961070323977,51.170048,26.89138568,3234.087209749044,352941.67607379984,4.1026814381508085,32.34087209749044,101.0592853813128,99.89508392272573,312.1537899134232,150,4.1026814381508085,153,204,153,204,50,train
VAH15,Extended cruise (1000 sec),92.75062426398458,92.75062426398458,89.89938285879163,-2.851241405192945,100.56987976660834,32.50057991861517,29.81452700789962,52.963581,30.411139999999996,133.16346226285606,100.99487981728052,3.1546522448186134,14.981732399999999,19.265031,29.81452700789962,52.963581,28.12995398,3250.057991861517,362051.5671597901,4.208119992386688,32.50057991861517,101.55834298940755,133.16346226285606,416.1113619514885,200,4.208119992386688,204,255,204,255,50,train
VAH15,Extended cruise (1000 sec),89.89938285879163,89.89938285879163,88.59258254146995,-1.3068003173216671,102.51255312761899,32.726664216922806,29.421702431146358,53.967022,32.528628999999995,166.5630360100592,102.92921982991393,3.1317932101525887,15.11877795,19.659316,29.421702431146358,53.967022,30.2123549,3272.66642169228,369045.1912594284,4.28871749291308,32.726664216922806,102.2648148975871,166.5630360100592,520.4788955405015,250,4.28871749291308,255,306,255,306,50,train
VAH15,Extended cruise (1000 sec),88.59258254146995,88.59258254146995,88.59258254146995,0.0,104.46503700766324,32.88477034868943,29.52364376811767,55.341801,33.792795,200.17562605239672,104.89003705199161,3.102000847417652,15.177221750000001,19.779848,29.52364376811767,55.341801,31.49264112,3288.477034868943,376074.1332275877,4.3704182104996505,32.88477034868943,102.75886752061389,200.17562605239672,625.5120659279272,300,4.3704182104996505,306,357,306,357,50,train
VAH15,Extended cruise (1000 sec),88.59258254146995,88.59258254146995,87.26298174258201,-1.3296007988879375,106.06903827908035,33.06466200391661,29.534633002180012,56.827198,35.159677,233.94632222650085,106.49403832564713,3.083420937619351,15.241031799999998,19.989004,29.534633002180012,56.827198,33.10366594,3306.4662003916605,381848.53780468926,4.437251596901963,33.06466200391661,103.32099590319176,233.94632222650085,731.0392889383797,350,4.437251596901963,357,408,357,408,50,train
VAH15,Extended cruise (1000 sec),87.26298174258201,87.26298174258201,85.98744808725789,-1.2755336553241297,108.37357680799529,33.19534753939828,30.08049332129207,58.280991,36.281626,267.88361404784337,108.7985768586639,3.0450822458274196,15.28775725,20.169998,30.08049332129207,58.280991,34.3011499,3319.534753939828,390144.8765087831,4.533274035777663,33.19534753939828,103.7293641990633,267.88361404784337,837.0870927484714,400,4.533274035777663,408,459,408,459,50,train
VAH15,Extended cruise (1000 sec),85.98744808725789,85.98744808725789,85.38868291847068,-0.598765168787218,111.14717269420832,33.370626385004556,30.089462787405786,59.884903,37.980349000000004,301.9388360681142,111.57217274485556,3.002697544499437,15.3569148,20.416377,30.089462787405786,59.884903,36.01046318000001,3337.0626385004557,400129.8216991499,4.648840531035649,33.370626385004556,104.27707839879282,301.9388360681142,943.5034067704294,450,4.648840531035649,459,510,459,510,50,train
VAH16,CC charge current reduced to 1.5C,100.0,100.0,100.0,0.0,76.40895416883757,27.427554095089473,30.210535820998725,44.453941,21.497656,1.0,76.83395420445314,3.452552543614392,14.6610786,17.48074,30.210535820998725,44.453941,20.167968560000002,2742.755409508947,275072.23500781524,3.201414758518881,27.427554095089473,86.07807425666287,1.0,3.13837952732628,0,3.201414758518881,0,51,0,51,50,train
VAH16,CC charge current reduced to 1.5C,100.0,100.0,96.98725106596262,-3.0127489340373748,77.70571143866894,27.550780002257174,30.167201965369827,45.269314,22.242468000000002,29.427554095089477,78.13071148300084,3.4249638563981337,14.728173199999999,17.632814,30.167201965369827,45.269314,20.68965084,2755.078000225717,279740.5611792083,3.255446311791702,27.550780002257174,86.4648039209542,29.427554095089477,92.3548333113154,50,3.255446311791702,51,102,51,102,50,train
VAH16,CC charge current reduced to 1.5C,96.98725106596262,96.98725106596262,94.93555565620296,-2.05169540975966,80.75795897926604,27.66180205923291,30.620481203174712,46.241489,22.987279,57.94820660800628,81.18295902359694,3.3427194377455733,14.787367399999999,17.785678,30.620481203174712,46.241489,21.232972400000005,2766.180205923291,290728.65232535766,3.3826232926498725,27.66180205923291,86.8132332716485,57.94820660800628,181.86346526384025,100,3.3826232926498725,102,153,102,153,50,train
